Identificador,Nome Competição,Regata,Nome Competidor,Pontuação Regata (Nha),Classe Vela,Flag Name,Posição Geral,Pontuação Regata,Descarte,Punição,Flotilha,Total,Net,ID Competição
SOPHIE RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q4,SOPHIE RENNIE,24.0-0-0,Kite Fem.,Silver,23,24.0,0,0,GERAL,412.0,412.0,
EMILIA KOSTI - Kite Fem. - World Championship 2024,World Championship 2024,Q4,EMILIA KOSTI,23.0-0-0,Kite Fem.,Silver,24,23.0,0,0,GERAL,441.0,441.0,
MARTYNA DAKOWICZ - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MARTYNA DAKOWICZ,27.0-0-DNC,Kite Fem.,Silver,25,27.0,0,DNC,GERAL,450.0,450.0,
MAGDALENA WOYCIECHOWSKA - Kite Fem. - World Championship 2024,World Championship 2024,Q4,MAGDALENA WOYCIECHOWSKA,27.0-0-DNC,Kite Fem.,Silver,26,27.0,0,DNC,GERAL,513.0,513.0,
DERIN ATAKAN - Kite Fem. - World Championship 2024,World Championship 2024,Q5,DERIN ATAKAN,17.0-0-0,Kite Fem.,Silver,1,17.0,0,0,GERAL,162.0,162.0,
HELOISE PEGOURIE - Kite Fem. - World Championship 2024,World Championship 2024,Q5,HELOISE PEGOURIE,12.0-0-0,Kite Fem.,Silver,2,12.0,0,0,GERAL,165.0,165.0,
ZOE BOUTANG - Kite Fem. - World Championship 2024,World Championship 2024,Q5,ZOE BOUTANG,15.0-0-0,Kite Fem.,Silver,3,15.0,0,0,GERAL,189.0,189.0,
JUSTINA KITCHEN - Kite Fem. - World Championship 2024,World Championship 2024,Q5,JUSTINA KITCHEN,15.0-0-0,Kite Fem.,Silver,4,15.0,0,0,GERAL,207.0,207.0,
ALEXIA FANCELLI - Kite Fem. - World Championship 2024,World Championship 2024,Q5,ALEXIA FANCELLI,11.0-0-0,Kite Fem.,Silver,5,11.0,0,0,GERAL,204.0,204.0,
NOORA RUSKOLA - Kite Fem. - World Championship 2024,World Championship 2024,Q5,NOORA RUSKOLA,13.0-0-0,Kite Fem.,Silver,6,13.0,0,0,GERAL,204.0,204.0,
MAFALDA PIRES DE LIMA - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MAFALDA PIRES DE LIMA,14.0-0-0,Kite Fem.,Silver,7,14.0,0,0,GERAL,223.0,223.0,
DERIN DENIZ SORGUC - Kite Fem. - World Championship 2024,World Championship 2024,Q5,DERIN DENIZ SORGUC,14.0-0-0,Kite Fem.,Silver,8,14.0,0,0,GERAL,226.0,226.0,
CATALINA TURIENZO - Kite Fem. - World Championship 2024,World Championship 2024,Q5,CATALINA TURIENZO,11.0-0-0,Kite Fem.,Silver,9,11.0,0,0,GERAL,266.0,266.0,
ANAIS MAI DESJARDINS - Kite Fem. - World Championship 2024,World Championship 2024,Q5,ANAIS MAI DESJARDINS,16.0-0-0,Kite Fem.,Silver,10,16.0,0,0,GERAL,272.0,272.0,
MARINA VODISEK - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MARINA VODISEK,23.0-0-0,Kite Fem.,Silver,11,23.0,0,0,GERAL,305.0,305.0,
ELLA GEIGER - Kite Fem. - World Championship 2024,World Championship 2024,Q5,ELLA GEIGER,18.0-0-0,Kite Fem.,Silver,12,18.0,0,0,GERAL,309.0,309.0,
MARIA DO SOCORRO REIS - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MARIA DO SOCORRO REIS,17.0-0-0,Kite Fem.,Silver,13,17.0,0,0,GERAL,333.0,333.0,
MARIE EVE MAYRAND - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MARIE EVE MAYRAND,19.0-0-0,Kite Fem.,Silver,14,19.0,0,0,GERAL,321.0,321.0,
LUCY BILGER - Kite Fem. - World Championship 2024,World Championship 2024,Q5,LUCY BILGER,16.0-0-0,Kite Fem.,Silver,15,16.0,0,0,GERAL,332.0,332.0,
ADELAIDA MARQUENIE ROCA - Kite Fem. - World Championship 2024,World Championship 2024,Q5,ADELAIDA MARQUENIE ROCA,18.0-0-0,Kite Fem.,Silver,16,18.0,0,0,GERAL,344.0,344.0,
EMILY BUGEJA - Kite Fem. - World Championship 2024,World Championship 2024,Q5,EMILY BUGEJA,22.0-0-0,Kite Fem.,Silver,17,22.0,0,0,GERAL,382.0,382.0,
EMMA RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q5,EMMA RENNIE,21.0-0-0,Kite Fem.,Silver,18,21.0,0,0,GERAL,376.0,376.0,
CARMEN VERDEYEN - Kite Fem. - World Championship 2024,World Championship 2024,Q5,CARMEN VERDEYEN,21.0-0-0,Kite Fem.,Silver,19,21.0,0,0,GERAL,382.0,382.0,
BENYAPA JANTAWAN - Kite Fem. - World Championship 2024,World Championship 2024,Q5,BENYAPA JANTAWAN,19.0-0-0,Kite Fem.,Silver,20,19.0,0,0,GERAL,393.0,393.0,
MARIJA DOLENC - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MARIJA DOLENC,20.0-0-0,Kite Fem.,Silver,21,20.0,0,0,GERAL,413.0,413.0,
AIJA AMBRASA - Kite Fem. - World Championship 2024,World Championship 2024,Q5,AIJA AMBRASA,22.0-0-0,Kite Fem.,Silver,22,22.0,0,0,GERAL,412.0,412.0,
SOPHIE RENNIE - Kite Fem. - World Championship 2024,World Championship 2024,Q5,SOPHIE RENNIE,24.0-0-0,Kite Fem.,Silver,23,24.0,0,0,GERAL,412.0,412.0,
EMILIA KOSTI - Kite Fem. - World Championship 2024,World Championship 2024,Q5,EMILIA KOSTI,25.0-0-0,Kite Fem.,Silver,24,25.0,0,0,GERAL,441.0,441.0,
MARTYNA DAKOWICZ - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MARTYNA DAKOWICZ,23.0-0-0,Kite Fem.,Silver,25,23.0,0,0,GERAL,450.0,450.0,
MAGDALENA WOYCIECHOWSKA - Kite Fem. - World Championship 2024,World Championship 2024,Q5,MAGDALENA WOYCIECHOWSKA,27.0-0-DNC,Kite Fem.,Silver,26,27.0,0,DNC,GERAL,513.0,513.0,
DERIN ATAKAN - Kite Fem. - World Championship 2024,World Championship 2024,Q6,DERIN ATAKAN,12.0-0-0,Kite Fem.,Silver,1,12.0,0,0,GERAL,162.0,162.0,
HELOISE PEGOURIE - Kite Fem. - World Championship 2024,World Championship 2024,Q6,HELOISE PEGOURIE,11.0-0-0,Kite Fem.,Silver,2,11.0,0,0,GERAL,165.0,165.0,
ZOE BOUTANG - Kite Fem. - World Championship 2024,World Championship 2024,Q6,ZOE BOUTANG,15.0-0-0,Kite Fem.,Silver,3,15.0,0,0,GERAL,189.0,189.0,
JUSTINA KITCHEN - Kite Fem. - World Championship 2024,World Championship 2024,Q6,JUSTINA KITCHEN,16.0-0-0,Kite Fem.,Silver,4,16.0,0,0,GERAL,207.0,207.0,
ALEXIA FANCELLI - Kite Fem. - World Championship 2024,World Championship 2024,Q6,ALEXIA FANCELLI,17.0-0-0,Kite Fem.,Silver,5,17.0,0,0,GERAL,204.0,204.0,
NOORA RUSKOLA - Kite Fem. - World Championship 2024,World Championship 2024,Q6,NOORA RUSKOLA,14.0-0-0,Kite Fem.,Silver,6,14.0,0,0,GERAL,204.0,204.0,
MAFALDA PIRES DE LIMA - Kite Fem. - World Championship 2024,World Championship 2024,Q6,MAFALDA PIRES DE LIMA,10.0-0-0,Kite Fem.,Silver,7,10.0,0,0,GERAL,223.0,223.0,
