,Position,Athlete,Nacionalidade,Regata,Pontuação Regata,Total,Net,Classe Vela,Nome Competição
236,12,"STEINBERG, TAMAR",ISR,17F,30,238,141,IQFOIL FEM.,European Championship 2023
237,12,"STEINBERG, TAMAR",ISR,18F,17,238,141,IQFOIL FEM.,European Championship 2023
238,12,"STEINBERG, TAMAR",ISR,19F,10.0,238,141,IQFOIL FEM.,European Championship 2023
240,13,"SORIN, LOLA",FRA,1Q,6,290,156,IQFOIL FEM.,European Championship 2023
241,13,"SORIN, LOLA",FRA,2Q,DNC (46),290,156,IQFOIL FEM.,European Championship 2023
242,13,"SORIN, LOLA",FRA,3Q,1,290,156,IQFOIL FEM.,European Championship 2023
243,13,"SORIN, LOLA",FRA,4Q,-24,290,156,IQFOIL FEM.,European Championship 2023
244,13,"SORIN, LOLA",FRA,5Q,7,290,156,IQFOIL FEM.,European Championship 2023
245,13,"SORIN, LOLA",FRA,6Q,12,290,156,IQFOIL FEM.,European Championship 2023
246,13,"SORIN, LOLA",FRA,7Q,14,290,156,IQFOIL FEM.,European Championship 2023
