Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,MRQ,Total,Nett
13,"BRUNO FESTO, ELENA BERTA",673,,5.0,7.0,19.0,2.0,10.0,6.0,15.0,27.0,3.0,27.0,-,-,-,-,-,-,-,-,121.0,94.0
13,CAGLA DONERTAS,698,TUR,12.0,11.0,11.0,16.0,4.0,6.0,9.0,17.0,26.0,40.0,-,-,-,-,-,-,-,-,152.0,112.0
13,FLORIAN GRUBER,1495,GER,4.0,7.0,9.0,8.0,6.0,13.0,13.0,10.0,13.0,24.0,15.0,5.0,9.0,8.0,16.0,13.0,12.0,-,185.0,136.0
13,EMILE ROULLET,1287,,17.0,16.0,18.0,12.0,12.0,9.0,10.0,11.0,4.0,15.0,17.0,12.0,12.0,12.0,-,-,-,-,177.0,125.0
14,VALENTIN BONTUS,4962,AUT,6.0,6.0,6.0,2.0,32.0,9.0,19.0,23.0,21.0,18.0,4.0,20.0,8.0,15.0,12.0,4.0,10.0,-,215.0,139.0
14,WAN LI,5084,CHN,8.0,5.0,3.0,7.0,12.0,14.0,22.0,17.0,11.0,18.0,11.0,4.0,15.0,8.0,18.0,26.0,-,-,199.0,143.0
14,"NOA ANCIAN, BILLY BESSON",3740,,4.0,11.0,10.0,11.0,13.0,4.0,10.0,17.0,14.0,16.0,17.0,5.0,-,-,-,-,-,-,132.0,115.0
14,GEORGE GAUTREY,1634,NZL,5.0,6.0,4.0,7.0,6.0,21.0,25.0,31.0,12.0,17.0,-,-,-,-,-,-,-,-,134.0,103.0
14,"LUKASZ PRZYBYTEK, JACEK PIASECKI",2956,POL,3.0,2.0,25.0,5.0,18.0,6.0,11.0,10.0,6.0,14.0,14.0,14.0,9.0,-,-,-,-,-,137.0,112.0
14,"CHARLINE PICON, SARAH STEYAERT",822,,17.0,8.0,4.0,1.0,14.0,26.0,26.0,19.0,11.0,15.0,7.0,11.0,9.0,-,-,-,-,-,168.0,142.0
14,SAMANTHA COSTIN,4295,AUS,2.0,4.0,4.0,20.0,13.0,13.0,15.0,15.0,15.0,16.0,20.0,15.0,15.0,23.0,-,-,-,-,190.0,127.0
14,MATILDA NICHOLLS,3307,GBR,7.0,1.0,30.0,6.0,23.0,15.0,10.0,33.0,24.0,11.0,-,-,-,-,-,-,-,-,160.0,127.0
14,"LINDA FAHRNI, CYRIL SCHUEPBACH",2818,,15.0,33.0,12.0,13.0,12.0,8.0,4.0,8.0,11.0,15.0,-,-,-,-,-,-,-,-,131.0,98.0
14,DAVID DRDA,1052,CZE,9.0,7.0,13.0,17.0,16.0,14.0,21.0,9.0,13.0,7.0,13.0,15.0,16.0,11.0,-,-,-,-,181.0,127.0
