Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,Total,Nett
57,"JOLBERT VAN DIJK, PIM VAN VUGHT",2285,,(35.0),26.0,29.0,28.0,33.0,18.0,16.0,19.0,21.0,(19.0),12.0,15.0,18.0,12.0,17.0,17.0,15.0,-,-,350.0,296.0
58,"EMILE AMOROS, BREWAL NAEL",1285,,(31.0),29.0,28.0,18.0,27.0,30.0,28.0,20.0,26.0,13.0,10.0,12.0,19.0,(20.0),18.0,10.0,14.0,-,-,353.0,302.0
59,"JAMES OLSSON, HENRIK MERGED ERIKSSON MERGED",2102,,34.0,32.0,24.0,29.0,21.0,32.0,30.0,13.0,(35.0),17.0,17.0,18.0,17.0,16.0,(19.0),16.0,18.0,-,-,388.0,334.0
60,"PONTUS DACKHAMMAR, MARCUS HOGLANDER",4056,SWE,32.0,(35.0),31.0,32.0,34.0,29.0,24.0,26.0,34.0,17.0,13.0,13.0,10.0,13.0,19.0,18.0,(20.0),-,-,400.0,345.0
61,"JOAKIM SALSKO, V-IVERSEN, MARCUS BAY",2231,,28.0,31.0,26.0,26.0,31.0,24.0,(33.0),28.0,29.0,16.0,18.0,14.0,20.0,(21.0),20.0,16.0,18.0,-,-,399.0,345.0
62,"EMIL JARUDD, JULIUS HALLSTROM",1281,,30.0,(34.0),32.0,33.0,33.0,10.0,29.0,32.0,30.0,19.0,(24.0),22.0,9.0,16.0,16.0,19.0,21.0,-,-,409.0,351.0
63,"SAM CURTIS, BEN CLEGG",4286,,32.0,33.0,31.0,35.0,7.0,34.0,33.0,(37.0),32.0,21.0,18.0,19.0,18.0,(22.0),16.0,19.0,19.0,-,-,426.0,367.0
64,"VICTOR SILEN, CHRISTOFFER SILEN",5026,FIN,25.0,31.0,19.0,36.0,34.0,36.0,31.0,(37.0),37.0,20.0,(21.0),16.0,16.0,19.0,15.0,20.0,17.0,-,-,430.0,372.0
65,"PETER LIN JANEZIC, ANZE PODLOGAR",3972,,30.0,34.0,28.0,34.0,(35.0),35.0,34.0,14.0,33.0,22.0,19.0,(26.0),15.0,18.0,14.0,22.0,21.0,-,-,434.0,373.0
66,"FREDERIKJUST MELSON, ANDERS BIGUM JOHANSEN",1562,,33.0,(35.0),33.0,30.0,35.0,34.0,29.0,31.0,29.0,18.0,21.0,16.0,(22.0),19.0,13.0,20.0,16.0,-,-,434.0,377.0
67,EDVIN GIPPERTH,1206,,(35.0),32.0,32.0,22.0,32.0,35.0,35.0,30.0,32.0,(22.0),19.0,15.0,22.0,14.0,20.0,18.0,19.0,-,-,434.0,377.0
68,"MUSAB AL HADI, YANN ROCHERIEUX",3578,,34.0,33.0,33.0,29.0,31.0,33.0,(35.0),29.0,33.0,(24.0),22.0,23.0,15.0,15.0,21.0,21.0,7.0,-,-,438.0,379.0
69,"PIOTR SZLACHCIC, LUKASZ WLOCH",4036,,29.0,(37.0),37.0,33.0,27.0,36.0,32.0,31.0,34.0,(23.0),23.0,21.0,9.0,17.0,21.0,17.0,17.0,-,-,444.0,384.0
70,"NILS CARSTENSEN, JAN FRIGGE",3720,GER,31.0,15.0,9.0,(37.0),25.0,33.0,34.0,37.0,37.0,(26.0),26.0,26.0,26.0,26.0,26.0,26.0,26.0,-,-,466.0,403.0
71,"RODOLFO PIRES, GONCALO PIRES",4187,POR,(37.0),36.0,35.0,32.0,36.0,20.0,37.0,32.0,27.0,21.0,20.0,(26.0),26.0,26.0,26.0,26.0,26.0,-,-,489.0,426.0
72,"HENRY LLOYD WILLIAMS, WILL ALLOWAY",1880,,15.0,27.0,27.0,13.0,(28.0),5.0,27.0,20.0,24.0,15.0,9.0,(26.0),26.0,26.0,26.0,26.0,-,-,-,340.0,286.0
