Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
21,GUZEL ECEM,1763,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,26.0,(39.0),9.0,(52.0),30.0,25.0,35.0,16.0,25.0,263.0,172.0
21,CONRADI TIM,947,,(55.0),36.0,26.0,(44.0),42.0,-,-,-,-,-,-,-,-,-,-,23.0,12.0,20.0,30.0,20.0,-,-,-,-,-,308.0,209.0
21,"ADAM GLOGOWSKI, MACIEJ KRUSIEC",13,POL,16.0,10.0,7.0,15.0,(23.0),11.0,7.0,8.0,4.0,15.0,23.0,13.0,14.0,14.0,15.0,-,-,-,-,-,-,-,-,-,-,195.0,172.0
21,MCMAHON EWAN,3401,,22.0,180.0,(34.0),19.0,28.0,-,-,-,-,-,-,-,-,-,-,38.0,17.0,(39.0),13.0,16.0,-,-,-,-,-,244.0,171.0
21,"HANNAH BRISTOW, ANNA CARPENTER",1790,,29.0,(34.0),31.0,24.0,26.0,28.0,14.0,10.0,26.0,3.0,2.0,6.0,15.0,22.0,-,-,-,-,-,-,-,-,-,-,-,270.0,236.0
22,"THEO REVIL, TIMOTHEE DEPERY",4738,,10.0,21.0,9.0,10.0,12.0,3.0,15.0,16.0,14.0,14.0,4.0,21.0,23.0,(24.0),11.0,-,-,-,-,-,-,-,-,-,-,207.0,183.0
22,WHALEY SAM,5119,,4.0,120.0,8.0,(14.0),12.0,-,-,-,-,-,-,-,-,-,-,13.0,(52.0),33.0,47.0,46.0,-,-,-,-,-,241.0,175.0
22,BOLAT EBRU,611,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(52.0),15.0,33.0,(49.0),31.0,8.0,32.0,17.0,28.0,21.0,286.0,185.0
22,"PIA DAHL ANDERSEN, NORA EDLAND",4012,NOR,26.0,12.0,20.0,11.0,3.0,32.0,29.0,11.0,8.0,23.0,9.0,25.0,28.0,(34.0),-,-,-,-,-,-,-,-,-,-,-,271.0,237.0
22,BINKHORST TEUN,578,,25.0,(44.0),(47.0),32.0,32.0,-,-,-,-,-,-,-,-,-,-,38.0,29.0,29.0,24.0,12.0,-,-,-,-,-,312.0,221.0
23,"DANIEL NYBORG, SEBASTIAN WRIGHT OLSEN",1029,,1.0,1.0,18.0,3.0,10.0,21.0,7.0,16.0,(32.0),22.0,17.0,7.0,24.0,20.0,16.0,-,-,-,-,-,-,-,-,-,-,215.0,183.0
23,"ARIANNA PASSAMONTI, GIULIA FAVA",359,,22.0,8.0,30.0,30.0,14.0,(34.0),11.0,29.0,27.0,20.0,11.0,13.0,29.0,8.0,-,-,-,-,-,-,-,-,-,-,-,286.0,252.0
23,FARLEY ARTHUR,1412,,21.0,39.0,(53.0),17.0,38.0,-,-,-,-,-,-,-,-,-,-,(44.0),34.0,19.0,38.0,43.0,-,-,-,-,-,346.0,249.0
23,PAPADIMITRIOU DIMITRIS,3876,,(23.0),10.0,14.0,4.0,19.0,-,-,-,-,-,-,-,-,-,-,(50.0),13.0,47.0,36.0,42.0,-,-,-,-,-,249.0,176.0
23,GOLEBIOWSKA WIKTORIA,1700,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,5.0,44.0,12.0,28.0,10.0,38.0,(61.0),(50.0),28.0,297.0,186.0
24,"TYTUS BUTOWSKI, LUKASZ MACHOWSKI",4927,,(28.0),16.0,19.0,4.0,4.0,19.0,21.0,13.0,3.0,16.0,22.0,10.0,8.0,11.0,26.0,-,-,-,-,-,-,-,-,-,-,220.0,192.0
24,MALINOWSKI PIOTR,3036,,46.0,37.0,41.0,(48.0),(49.0),-,-,-,-,-,-,-,-,-,-,19.0,22.0,34.0,18.0,40.0,-,-,-,-,-,354.0,257.0
24,VADNAI BENJAMIN,4951,,(36.0),230.0,2.0,31.0,15.0,-,-,-,-,-,-,-,-,-,-,18.0,26.0,32.0,29.0,(43.0),-,-,-,-,-,255.0,176.0
24,"MARLA BERGMANN, HANNA WILLE",3199,GER,6.0,23.0,10.0,35.0,30.0,19.0,13.0,21.0,(38.0),28.0,7.0,10.0,30.0,30.0,-,-,-,-,-,-,-,-,-,-,-,300.0,262.0
24,ALBANO CAROLINA,72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.0,14.0,(38.0),17.0,16.0,35.0,20.0,24.0,24.0,(42.0),267.0,187.0
25,KRABBE-CHRISTENSEN ANDREAS,2624,,(52.0),52.0,52.0,38.0,(59.0),-,-,-,-,-,-,-,-,-,-,32.0,14.0,23.0,14.0,41.0,-,-,-,-,-,377.0,266.0
25,"SILVIA SICOURI, ALICE SINNO",4484,,9.0,26.0,34.0,23.0,16.0,(38.0),16.0,25.0,7.0,18.0,19.0,16.0,35.0,19.0,-,-,-,-,-,-,-,-,-,-,-,301.0,263.0
25,BOUGIOURIS ADONIS,635,,(37.0),50.0,17.0,28.0,20.0,-,-,-,-,-,-,-,-,-,-,24.0,(47.0),30.0,30.0,29.0,-,-,-,-,-,267.0,183.0
25,"OTTO HENRY, MILES DAVEY",3846,,14.4,(32.0),6.0,13.0,13.0,8.0,22.0,6.0,5.0,24.0,6.0,20.0,13.0,22.0,26.0,-,-,-,-,-,-,-,-,-,-,230.4,198.4
25,HOPKINS AOIFE,1915,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.0,(49.0),(49.0),19.0,21.0,31.0,18.0,37.0,9.0,35.0,304.0,206.0
