Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,Total,Nett
50,"HASSETT MARK, O'DRISCOLL OISIN",1824,IRL,17.0,14.0,16.0,26.0,9.0,24.0,18.0,25.0,19.0,28.0,(30.0),16.0,29.0,22.0,-,-,-,293,263
51,"AL HADI MUSAB, AL RAHSDI HASHIM",66,OMA,(31.0),23.0,15.0,27.0,(31.0),28.0,16.0,16.0,12.0,15.0,22.0,10.0,23.0,26.0,-,-,-,295,264
52,"SALSKOV-IVERSEN JOAKIM, HEIDE-JORGENSEN NICKLAS",4284,DEN,(31.0),15.0,25.0,22.0,18.0,15.0,24.0,19.0,18.0,21.0,34.0,(35.0),18.0,25.0,-,-,-,320,285
53,"PEACH MORGAN, HAWES RHOS",3937,GBR,15.0,22.0,24.0,24.0,22.0,26.0,28.0,13.0,(35.0),31.0,18.0,21.0,15.0,(35.0),-,-,-,329,294
54,"HAENSSLER MAX, HAENSSLER FRED",1770,SUI,(25.0),1.0,27.0,16.0,27.0,23.0,8.0,23.0,(35.0),30.0,31.0,26.0,31.0,(35.0),-,-,-,338,303
55,"BACHELIN MAXIME, DE PLANTA ARNO",430,SUI,(31.0),(31.0),29.0,18.0,23.0,21.0,29.0,(35.0),26.0,7.0,16.0,2.0,(35.0),(35.0),-,-,-,338,303
56,"MARCINIAK JAN, JAROCKI ROBERT",3080,POL,(31.0),(31.0),27.0,21.0,24.0,16.0,32.0,29.0,25.0,11.0,26.0,(32.0),26.0,24.0,-,-,-,355,323
57,"WUNDERLE MANUEL, WIELAND FELIX",5173,GER,24.0,23.0,20.0,24.0,25.0,24.0,26.0,31.0,24.0,27.0,27.0,(31.0),(26.0),23.0,-,-,-,355,324
58,"CERDAN MING VERNON, TORRADO MARTINEZ ANTONIO",804,ESP,(31.0),13.0,26.0,19.0,29.0,25.0,30.0,27.0,21.0,32.0,29.0,28.0,(35.0),(35.0),-,-,-,380,345
59,"ROISLAND MORTEN, SKJONBERG STEFFEN",4200,NOR,(31.0),(31.0),28.0,30.0,28.0,27.0,(35.0),(35.0),(35.0),33.0,32.0,33.0,(35.0),(35.0),-,-,-,448,413
