Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
27,"TAYLOR CHRIS, RYA BATTEN SAM, RYA",4704,GBR,13.0,11.0,14.0,10.0,(32.0),4.0,(34.0),11.0,7.0,6.0,10.0,18.0,8.0,14.0,10.0,-,202,168
27,"SCHOFEGGER LAURA, BOUSTANI ANNA",4385,AUT,16.0,12.0,19.0,5.0,5.0,22.0,(30.0),(30.0),11.0,18.0,4.0,3.0,14.0,(30.0),8.0,0.0,227,197
28,"CARSTENSEN NILS, FRIGGE JAN, MAKANI",770,GER,11.0,24.0,6.0,12.0,8.0,8.0,15.0,24.0,13.0,(30.0),8.0,(8.0),14.0,21.0,8.0,-,210,180
28,"VADUROVA DOMINIKA, TKADLECOVA SARA",4953,CZE,15.0,25.0,18.0,13.0,21.0,9.0,16.0,(30.0),14.0,12.0,17.0,13.0,12.0,12.0,3.0,0.0,230,200
29,"SEATON RYAN, GUILFOYLE SEAFRA",4403,IRL,24.0,9.0,11.0,9.0,(32.0),11.0,4.0,17.0,4.0,3.0,25.0,26.0,17.0,9.0,25.0,-,226,194
29,"GRONBLOM RONJA, EHRNROOTH SARA",1728,FIN,(28.0),13.0,17.0,7.0,20.0,19.0,13.0,(30.0),22.0,6.0,8.0,14.0,13.0,(30.0),(30.0),0.0,270,240
30,"NAEL GWENDAL, CLEMENT PEQUIN, SRR",3593,FRA,20.0,20.0,8.0,8.0,20.0,14.0,8.0,15.0,15.0,22.0,7.0,(27.0),16.0,22.0,18.0,-,240,213
30,"ANDO NATSUMI, VALENTIEN FENJA",226,GER,23.0,17.0,3.0,23.0,20.0,23.0,19.0,(30.0),16.0,21.0,11.0,(30.0),23.0,7.0,12.0,0.0,278,248
31,"NAEF LIVIA, YACHTCLUB PUHZE NELIA",3592,SUI,17.0,16.0,22.0,(28.0),(28.0),18.0,17.0,(30.0),13.0,11.0,16.0,16.0,18.0,19.0,13.0,0.0,282,252
31,"LAMBRIEX BART, ROBERT DANIEL",2670,NED,(29.0),22.0,7.0,17.0,15.0,9.0,20.0,10.0,16.0,19.0,14.0,8.0,26.0,24.0,14.0,-,250,221
32,"FARIEN PAUL, KIELER KLOSEL MIRCO, KIELER",1410,GER,19.0,21.0,22.0,9.0,9.0,13.0,26.0,20.0,19.0,18.0,9.0,17.0,(30.0),18.0,20.0,-,270,240
32,"TAMMISTE KATLIN, SEPP ANNA MARIA",4682,EST,19.0,26.0,21.0,11.0,19.0,19.0,12.0,6.0,10.0,17.0,10.0,(30.0),(30.0),(30.0),(30.0),0.0,290,260
33,"IVNA VERONIKA, IVNA KATE?INA",2031,CZE,10.0,22.0,25.0,21.0,24.0,24.0,22.0,(30.0),18.0,13.0,21.0,19.0,19.0,17.0,15.0,0.0,300,270
33,"BACHELIN MAXIME, DE PLANTA ARNO",430,SUI,9.0,3.0,11.0,21.0,27.0,15.0,(34.0),29.0,24.0,26.0,3.0,6.0,12.0,26.0,30.0,-,276,242
34,"MUNRO GILLIES, RFYC HARRIS DANIEL, RFYC",3573,GBR,17.0,13.0,22.0,4.0,21.0,23.0,18.0,14.0,28.0,12.0,(29.0),24.0,24.0,16.0,12.0,-,277,248
34,"DE VREESE MARIANNE, WITTOCK SHANA",1074,FRA,20.0,24.0,23.0,22.0,18.0,16.0,21.0,(30.0),23.0,23.0,14.0,18.0,20.0,18.0,11.0,0.0,301,271
35,"KOHLENDORFER LISA, FARTHOFER LISA",2604,AUT,24.0,25.0,26.0,22.0,26.0,25.0,9.0,(30.0),15.0,9.0,19.0,15.0,10.0,(30.0),16.0,0.0,301,271
35,BUGALLO ARRIOLA LORENZO ROMAN,685,ESP,25.0,3.0,2.0,(32.0),15.0,17.0,10.0,13.0,21.0,17.0,12.0,(34.0),27.0,23.0,(34.0),-,285,251
36,"LUNDBERG RONJA, JOHNSSON HANNA",2966,SWE,26.0,23.0,24.0,25.0,25.0,25.0,(30.0),(30.0),17.0,20.0,24.0,17.0,21.0,6.0,21.0,0.0,334,304
36,"FERRARESE SIMONE, GALATI VALERIO",1451,ITA,(32.0),24.0,18.0,11.0,13.0,18.0,21.0,19.0,30.0,9.0,18.0,12.0,20.0,(34.0),11.0,-,290,256
37,"MEILHAT EMMA, SALOU CHLOE",3417,FRA,24.0,23.0,26.0,(28.0),(28.0),(28.0),(30.0),(30.0),21.0,16.0,22.0,20.0,22.0,15.0,18.0,0.0,351,321
