Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
59,LUC SCHMITZ,2896,,20.0,38.0,35.0,34.0,(80.0),41.0,-,-,-,-,-,-,-,-,-,-,-,50.0,27.0,42.0,(57.0),16.0,11.0,19.0,51.0,28.0,(71.0),5.0,5.0,630.0,422.0
59,MANON BERGER,3053,SUI,54.0,59.0,56.0,43.0,56.0,(66.0),13.0,62.0,42.0,(67.0),49.0,(73.0),52.0,57.2,65.0,6.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,836.2,630.2
60,THOMAS BROUCKE,4758,BEL,28.0,35.0,33.0,(46.0),24.0,30.0,-,-,-,-,-,-,-,-,-,-,-,31.0,(69.0),(74.0),43.0,11.0,9.0,9.0,43.0,63.0,53.0,6.0,15.0,622.0,433.0
60,CRISTINA ORTIZ-VIVAS,980,,(64.0),44.0,60.0,58.0,52.0,54.0,16.0,58.0,(64.0),(66.0),52.0,59.0,59.0,46.0,60.0,11.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,835.0,641.0
61,JACOPO RENNA,2069,ITA,11.0,31.0,(53.0),32.0,26.0,33.0,-,-,-,-,-,-,-,-,-,-,-,60.0,59.0,56.0,(61.0),14.0,12.0,12.0,(69.0),50.0,30.0,7.0,3.0,619.0,436.0
61,JULIA GOMEZ ROA,2386,ESP,(63.0),(66.0),61.0,56.0,62.0,59.0,12.0,55.0,60.0,57.0,(64.0),48.0,51.0,54.0,49.0,15.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,845.0,652.0
62,MEGUMI KOMINE,3412,,51.0,49.0,52.0,50.0,54.0,62.0,9.0,60.1,65.0,56.0,50.0,(73.0),(73.0),(73.0),73.0,21.0,21.0,-,-,-,-,-,-,-,-,-,-,-,-,892.1,673.1
62,LUKA MRATOVIC,2939,,31.0,23.0,(43.0),18.0,24.0,35.0,-,-,-,-,-,-,-,-,-,-,-,56.8,52.0,59.0,39.0,13.0,6.0,17.0,56.0,(70.0),(65.0),5.0,5.0,617.8,439.8
63,LINDA OPRANDI,2820,ITA,65.0,60.0,66.0,(73.0),(67.0),57.0,13.0,61.0,58.0,(68.0),63.0,55.0,60.0,59.0,55.0,14.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,912.0,704.0
63,FABIAN WOLF,1395,GER,(39.0),37.0,26.0,14.0,28.0,28.0,-,-,-,-,-,-,-,-,-,-,-,51.0,63.0,44.0,(66.0),5.0,19.0,14.0,47.0,52.0,(70.0),12.0,17.0,632.0,457.0
