Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,Total,Nett
137,MAY JANNES,3387,,70.0,59.0,65.0,59.0,47.0,46.0,29.0,(77.0),77.0,-,529.0,452.0
138,PACHALI MILO,3856,,(70.0),70.0,69.0,65.0,68.0,59.0,43.0,60.0,29.0,-,533.0,463.0
139,HOLM IVER ELIAS,1911,,62.0,64.0,62.0,60.0,59.0,45.0,(77.0),61.0,54.0,-,544.0,467.0
140,DINTER HENNING,1138,,(72.0),69.0,60.0,64.0,66.0,65.0,59.0,41.0,44.0,-,540.0,468.0
141,BRAUNE HANNES,646,,65.0,71.0,68.0,64.0,60.0,53.0,34.0,(77.0),59.0,-,551.0,474.0
142,MATHIOT DEAN,3298,,66.0,66.0,58.0,58.0,68.0,54.0,(77.0),62.0,42.0,-,551.0,474.0
143,TAMM AKSEL,4679,,69.0,64.0,(72.0),62.0,63.0,60.0,41.0,56.0,60.0,-,547.0,475.0
144,HIMMEL JIRI,1899,,68.0,61.0,(72.0),69.0,56.0,64.0,61.0,64.0,58.0,-,573.0,501.0
145,KJOPSNES GUDLEIK,2583,,73.0,(76.0),76.0,70.0,71.0,68.0,63.0,19.0,62.0,-,578.0,502.0
146,RINCKE JAKOB,4160,,74.0,74.0,70.0,67.0,70.0,63.0,(77.0),15.0,77.0,-,587.0,510.0
147,D'URSEL FELIX,1000,,73.0,72.0,73.0,71.0,65.0,65.0,(77.0),57.0,64.0,-,617.0,540.0
148,WONG TOMMY HAUNTING,5165,,72.0,66.0,73.0,71.0,72.0,66.0,62.0,(77.0),61.0,-,620.0,543.0
149,HEEGAARD MAGNUS,1848,,76.0,76.0,76.0,76.0,76.0,76.0,(77.0),77.0,77.0,-,687.0,610.0
