Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
4,JUAN IGNACIO MAEGLI,2360,GUA,2.0,1.0,1.0,4.0,3.0,15.0,(30.0),28.0,(54.0),33.0,7.0,9.0,2.0,-,-,-,-,-,-,-,-,-,-,189.0,105.0
4,"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",2166,DEN,-,-,-,-,-,-,-,2.0,2.0,6.0,4.0,4.0,8.0,2.0,(23.0),(16.0),13.0,6.0,2.0,1.0,9.0,10.0,16.0,124.0,85.0
4,HERMANN TOMASGAARD,1886,NOR,18.0,16.0,(38.0),(39.0),11.0,18.0,29.0,8.0,7.0,22.0,25.0,5.0,-,-,-,-,-,-,-,-,-,-,-,236.0,159.0
5,FEDERICO YANDIAN,1427,URU,(36.0),36.0,29.0,27.0,16.0,(44.0),36.0,3.0,1.0,29.0,9.0,22.0,-,-,-,-,-,-,-,-,-,-,-,288.0,208.0
5,JOSEFIN OLSSON,2331,SWE,(20.0),1.0,13.0,6.0,4.0,2.0,-,5.0,4.0,5.0,(23.0),13.0,-,-,-,-,-,-,-,-,-,-,-,96.0,53.0
5,ANNALISE MURPHY,313,IRL,35.0,33.0,(41.0),37.0,14.0,(50.0),-,2.0,1.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,125.0,216.0
5,"ERIK HEIL, THOMAS PLOESSEL",1338,GER,-,-,-,-,-,-,-,7.0,3.0,(14.0),1.0,9.0,1.0,11.0,10.0,7.0,13.0,10.0,(18.0),1.0,11.0,12.0,18.0,146.0,114.0
5,"CHARLOTTE DOBSON, SOPHIE AINSWORTH",825,GBR,-,-,-,-,-,-,-,10.0,8.0,2.0,6.0,(22.0),11.0,2.0,1.0,5.0,1.0,3.0,(21.0),5.0,7.0,15.0,12.0,131.0,88.0
5,MATTHEW WEARN,3336,AUS,1.0,1.0,(21.0),12.0,2.0,17.0,20.0,(24.0),9.0,11.0,9.0,14.0,10.0,-,-,-,-,-,-,-,-,-,-,151.0,106.0
5,ANTONY MUNOS,347,FRA,14.0,26.0,5.0,10.0,(45.0),27.0,35.0,12.0,12.0,11.0,11.0,(41.0),-,-,-,-,-,-,-,-,-,-,-,249.0,163.0
6,BO JEONG,599,KOR,27.0,19.0,42.0,34.0,47.0,(48.0),(50.0),4.0,15.0,19.0,6.0,2.0,-,-,-,-,-,-,-,-,-,-,-,313.0,215.0
6,"JOHN PINK, STUART BITHELL",2282,,-,-,-,-,-,-,-,8.0,12.0,4.0,16.0,(28.0),13.6,9.0,13.6,5.0,3.0,(12.0),9.0,12.0,2.0,1.0,6.0,154.2,114.2
6,LIJIA XU,2797,CHN,10.0,1.0,(14.0),3.0,10.0,1.0,-,15.0,26.0,(29.0),17.0,1.0,-,-,-,-,-,-,-,-,-,-,-,127.0,84.0
6,"TAMARA ECHEGOYEN, BERTA BETANZOS",4677,,-,-,-,-,-,-,-,1.0,5.0,7.0,(10.0),1.0,5.0,3.0,4.0,7.0,5.0,13.0,12.0,(22.0),5.0,16.0,10.0,126.0,94.0
6,ANDY MALONEY,274,NZL,2.0,7.0,12.0,(44.0),15.0,2.0,11.0,13.0,17.0,20.0,1.0,6.0,(30.0),-,-,-,-,-,-,-,-,-,-,180.0,106.0
6,ODILE GINAID,3776,BRA,30.0,(38.0),7.0,(33.0),24.0,23.0,-,3.0,17.0,3.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,125.0,196.0
6,KAARLE TAPPER,2443,FIN,8.0,4.0,35.0,19.0,30.0,(40.0),26.0,34.0,3.0,1.0,(37.0),10.0,-,-,-,-,-,-,-,-,-,-,-,247.0,170.0
7,ELIOT MERCERON,1252,SUI,28.0,18.0,16.0,(34.0),29.0,(34.0),23.0,22.0,9.0,6.0,2.0,30.0,-,-,-,-,-,-,-,-,-,-,-,251.0,183.0
7,"MAIKEN FOGHT SCHUTT, ANNE-, JULIE SCHUTT",3012,,-,-,-,-,-,-,-,2.0,2.0,(18.0),13.0,3.0,6.0,1.0,6.0,4.0,(17.0),5.0,8.0,12.0,1.0,14.0,18.0,130.0,95.0
7,IGOR LES,1975,MNE,(36.0),30.0,32.0,32.0,33.0,(38.0),18.0,2.0,30.0,17.0,8.0,21.0,-,-,-,-,-,-,-,-,-,-,-,297.0,223.0
7,LENA HAVERLAND,2739,GER,(35.0),17.0,(36.0),26.0,20.0,10.0,-,14.0,19.0,24.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,137.0,208.0
7,SAM MEECH,4288,NZL,(13.0),1.0,9.0,9.0,2.0,12.0,12.0,10.0,(20.0),19.0,2.0,16.0,15.0,-,-,-,-,-,-,-,-,-,-,140.0,107.0
