Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,Total,Nett
17,FRANCESCO MARRAI,1523,ITA,7.0,3.0,(42.0),4.0,24.0,13.0,31.0,6.0,18.0,14.0,(50.0),13.0,4.0,-,-,-,-,-,-,-,-,-,-,229.0,137.0
17,MATTHEW LONG,3333,USA,(49.0),(49.0),44.0,25.0,7.0,14.0,45.0,27.0,33.0,28.0,32.0,10.0,-,-,-,-,-,-,-,-,-,-,-,363.0,265.0
17,"ERIN RAFUSE, DANIELLE BOYD",1346,CAN,-,-,-,-,-,-,-,7.0,10.0,12.0,6.0,8.0,12.0,16.0,(18.0),10.0,(23.0),19.0,11.0,16.0,18.0,6.0,-,192.0,151.0
17,"MARCO SOFFIATTI GRAEL, GABRIEL BORGES",3089,,-,-,-,-,-,-,-,16.0,12.0,16.0,2.0,(32.0),6.0,4.0,14.0,14.0,1.0,(24.0),11.0,16.0,17.0,23.0,-,208.0,152.0
17,CONSTANZE STOLZ,949,GER,25.0,20.0,21.0,17.0,(42.0),(35.0),-,17.0,25.0,26.0,34.0,-,-,-,-,-,-,-,-,-,-,-,-,185.0,262.0
17,AMELIE RIOU,186,FRA,33.0,6.0,6.0,11.0,7.0,(36.0),-,14.0,22.0,19.0,3.0,(51.0),-,-,-,-,-,-,-,-,-,-,-,208.0,121.0
17,SERGEY KOMISSAROV,4437,RUS,14.0,22.0,(32.0),28.0,24.0,29.0,8.0,35.0,17.0,(38.0),19.0,9.0,-,-,-,-,-,-,-,-,-,-,-,275.0,205.0
18,"RAGNA AGERUP, MAIA AGERUP",4093,NOR,-,-,-,-,-,-,-,12.0,9.0,5.0,7.0,6.0,4.0,7.0,(13.0),21.0,18.0,8.0,16.0,18.0,(22.0),20.0,-,186.0,151.0
18,EMMA PLASSCHAERT,1301,BEL,9.0,19.0,3.0,10.0,11.0,(22.0),-,(26.0),25.0,2.0,26.0,21.0,-,-,-,-,-,-,-,-,-,-,-,174.0,126.0
18,GIOVANNI COCCOLUTO,1678,ITA,7.0,18.0,11.0,3.0,(22.0),21.0,1.0,11.0,37.0,10.0,11.0,8.0,(50.0),-,-,-,-,-,-,-,-,-,-,210.0,138.0
18,WANNES VAN LAER,5088,BEL,31.0,19.0,(40.0),36.0,13.0,14.0,25.0,18.0,19.0,(43.0),18.0,12.0,-,-,-,-,-,-,-,-,-,-,-,288.0,205.0
18,JIAN SHI,2206,CHN,33.0,36.0,7.0,31.0,33.0,38.0,(49.0),18.0,32.0,24.0,18.0,(39.0),-,-,-,-,-,-,-,-,-,-,-,358.0,270.0
18,PALOMA SCHMIDT GUTIERREZ,3866,PER,16.0,(44.0),18.0,31.0,36.0,(49.0),-,11.0,30.0,21.0,30.0,-,-,-,-,-,-,-,-,-,-,-,-,193.0,286.0
18,"MANU DYEN, STEPHANE CHRISTIDIS",3063,,-,-,-,-,-,-,-,(21.0),20.0,7.0,12.0,20.0,17.0,4.0,5.0,(36.0),11.0,3.0,16.0,5.0,13.0,21.0,-,211.0,154.0
