Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,M0Q,M1Q,M2Q,M3Q,Total,Nett
55,JAKOB EKLUND,2076,FIN,(21.0),5.0,17.0,13.0,57.0,57.0,27.0,51.0,46.0,(69.0),-,-,-,-,-,-,-,-,-,-,363.0,273.0
55,RINA NIIJIMA,4158,,-,-,-,-,33.0,25.0,27.0,19.0,23.0,35.0,46.0,(48.0),35.0,33.0,44.0,(52.0),-,-,-,-,420.0,320.0
56,DILARA URALP,1129,,-,-,-,-,9.0,27.0,23.0,21.0,17.0,19.0,(57.0),51.0,(59.0),51.0,52.0,57.0,-,-,-,-,443.0,327.0
56,JACOPO RENNA,2069,ITA,(31.0),11.0,5.0,5.0,46.0,49.0,(70.0),60.0,49.0,52.0,-,-,-,-,-,-,-,-,-,-,378.0,277.0
57,RYTIS JASIUNAS,4267,LTU,19.0,19.0,(25.0),5.0,(63.0),60.0,52.0,41.0,44.0,39.0,-,-,-,-,-,-,-,-,-,-,367.0,279.0
57,LUCY KENYON,2928,GBR,-,-,-,-,19.0,23.0,19.0,21.0,25.0,23.0,50.0,(52.0),(55.0),52.0,51.0,48.0,-,-,-,-,438.0,331.0
58,INES BOUCHET,1989,,-,-,-,-,29.0,27.0,13.0,21.0,25.0,23.0,(59.0),53.0,54.0,(69.0),50.0,54.0,-,-,-,-,477.0,349.0
58,JAMES HATCHER,2096,,3.0,1.0,(21.0),15.0,58.0,48.0,(61.0),51.0,59.0,46.0,-,-,-,-,-,-,-,-,-,-,363.0,281.0
59,FIONA WYLDE,1478,,-,-,-,-,27.0,31.0,35.0,17.0,35.0,25.0,(52.0),50.0,(57.0),49.0,47.0,50.0,-,-,-,-,475.0,366.0
59,BENOAT MERCEUR,522,,11.0,(37.0),23.0,11.0,55.0,39.0,50.0,56.0,(61.0),36.0,-,-,-,-,-,-,-,-,-,-,379.0,281.0
60,MERVE VATAN,3432,TUR,-,-,-,-,27.0,27.0,21.0,27.0,27.0,25.0,(63.0),55.0,58.0,53.0,(60.0),56.0,-,-,-,-,499.0,376.0
60,LUKA MRATOVIC,2939,,5.0,9.0,(13.0),11.0,(68.0),64.0,60.0,30.0,66.0,43.0,-,-,-,-,-,-,-,-,-,-,369.0,288.0
61,LINDA OPRANDI,2820,ITA,-,-,-,-,19.0,31.0,35.0,19.0,23.0,25.0,(64.0),56.0,(60.0),57.0,58.0,55.0,-,-,-,-,502.0,378.0
61,FABIAN WOLF,1395,GER,(9.0),9.0,9.0,3.0,(66.0),66.0,54.0,44.0,48.0,58.0,-,-,-,-,-,-,-,-,-,-,366.0,291.0
62,NATASA LAPPA,3611,CYP,-,-,-,-,33.0,29.0,15.0,27.0,31.0,29.0,(62.0),(69.0),61.0,56.0,56.0,60.0,-,-,-,-,528.0,397.0
62,ANTONINO CANGEMI,342,,15.0,(37.0),11.0,17.0,37.0,(62.0),59.0,54.0,47.0,57.0,-,-,-,-,-,-,-,-,-,-,396.0,297.0
63,AYSE-ZEYNEP TURKOGLU,427,,-,-,-,-,25.0,31.0,31.0,25.0,29.0,31.0,61.0,57.0,(62.0),(69.0),59.0,59.0,-,-,-,-,539.0,408.0
63,HIDDE VAN DER MEER,1894,NED,19.0,(21.0),13.0,7.0,59.0,(65.0),47.0,63.0,32.0,60.0,-,-,-,-,-,-,-,-,-,-,386.0,300.0
64,ELIF ERCAN,1247,,-,-,-,-,22.0,35.0,19.0,23.0,29.0,27.0,67.0,65.0,66.0,(69.0),(69.0),69.0,-,-,-,-,560.0,422.0
64,DOMINIK LEWINSKI,1158,POL,11.0,9.0,7.0,(13.0),54.0,59.0,62.0,(75.0),67.0,49.0,-,-,-,-,-,-,-,-,-,-,406.0,318.0
65,MANON BERGER,3053,SUI,-,-,-,-,29.0,33.0,35.0,35.0,33.0,32.0,58.0,(64.0),53.0,58.0,57.0,(61.0),-,-,-,-,548.0,423.0
65,OFEK ELIMELECH,3787,,19.0,(37.0),13.0,13.0,67.0,(72.0),37.0,47.0,62.0,68.0,-,-,-,-,-,-,-,-,-,-,435.0,326.0
66,KENSEI IKEDA,2543,JPN,5.0,7.0,(17.0),17.0,56.0,63.0,(69.0),57.0,64.0,67.0,-,-,-,-,-,-,-,-,-,-,422.0,336.0
66,ELENA SANDERA,1238,SUI,-,-,-,-,18.0,29.0,35.0,35.0,31.0,29.0,60.0,60.0,64.0,(69.0),63.0,(69.0),-,-,-,-,562.0,424.0
67,JOSE LUIS BORONAT SUAY,2324,,7.0,9.0,(29.0),21.0,(75.0),55.0,67.0,66.0,54.0,62.0,-,-,-,-,-,-,-,-,-,-,445.0,341.0
67,GELLY SKARLATOU,1625,,-,-,-,-,29.0,35.0,29.0,31.0,33.0,33.0,(68.0),62.0,(63.0),60.0,61.0,63.0,-,-,-,-,567.0,436.0
68,ONUR CAVIT BIRIZ,3826,TUR,9.0,(19.0),15.0,19.0,64.0,(74.0),66.0,59.0,58.0,55.0,-,-,-,-,-,-,-,-,-,-,438.0,345.0
68,JUNNA WATANABE,2424,JPN,-,-,-,-,31.0,35.0,35.0,35.0,29.0,27.0,(66.0),63.0,(65.0),59.0,62.0,62.0,-,-,-,-,569.0,438.0
69,ALEXIS MATHIS,142,,15.0,15.0,(27.0),11.0,65.0,58.0,65.0,64.0,56.0,(66.0),-,-,-,-,-,-,-,-,-,-,442.0,349.0
70,FERNANDO LAMADRID TRUEBA,1449,ESP,(27.0),13.0,17.0,15.0,61.0,69.0,64.0,48.0,(75.0),75.0,-,-,-,-,-,-,-,-,-,-,464.0,362.0
71,YOAV COHEN,5225,ISR,(17.0),5.0,15.0,15.0,(75.0),67.0,68.0,69.0,65.0,71.0,-,-,-,-,-,-,-,-,-,-,467.0,375.0
72,ALEXANDROS KALPOGIANNAKIS,139,,21.0,9.0,19.0,(26.0),60.0,70.0,71.0,68.0,70.0,(73.0),-,-,-,-,-,-,-,-,-,-,487.0,388.0
73,DAIYA KURAMOCHI,1010,JPN,19.0,13.0,(29.0),13.0,69.0,(73.0),73.0,70.0,63.0,70.0,-,-,-,-,-,-,-,-,-,-,492.0,390.0
74,DAVIS MAZAIS,1065,LAT,3.0,9.0,25.0,(27.0),(75.0),71.0,72.0,71.0,72.0,72.0,-,-,-,-,-,-,-,-,-,-,497.0,395.0
