,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,F4,M/F5,TOTAL,NETT
78,79TH,CAN,178611,FILLAH KARIM,CANFK3,24.0-0-0-0-0,31.0-0-0,26.0-0-0,19.0-0-0,36.0-0-0,25.0-0-0,41.0-1-0,29.0-0-0,15.0-0-0,17.0-0-0,263.0-0-0,222.0,
79,80TH,CAN,216264,RYAN ANDERSON,CANRA6,18.0-0-0-0-0,24.0-0-0,33.0-0-0,32.0-0-0,27.0-0-0,14.0-0-0,30.0-0-0,4.0-0-0,52.0-1-BFD,44.0-0-0,278.0-0-0,226.0,
80,81ST,USA,199796,MALCOLM LAMPHERE,USAML56,25.0-0-0-0-0,21.0-0-0,34.0-0-0,52.0-1-BFD,36.0-0-0,28.0-0-0,34.0-0-0,14.0-0-0,13.0-0-0,24.0-0-0,281.0-0-0,229.0,
81,82ND,BER,222411,CAMPBELL PATTON,BERCP4,23.0-0-0-0-0,31.0-0-0,26.0-0-0,26.0-0-0,25.0-0-0,39.0-1-0,27.0-0-0,36.0-0-0,30.0-0-0,8.0-0-0,271.0-0-0,232.0,
82,83RD,CZE,221935,ONDREJ TEPLY,CZEOT1,21.0-0-0-0-0,22.0-0-0,17.0-0-0,29.0-0-0,52.0-1-BFD,31.0-0-0,24.0-0-0,20.0-0-0,43.0-0-0,27.0-0-0,286.0-0-0,234.0,
83,84TH,JPN,217704,HARUTO KURODA,JPNHK27,46.0-1-0-0-0,12.0-0-0,39.0-0-0,7.0-0-0,32.0-0-0,23.0-0-0,39.0-0-0,22.0-0-0,33.0-0-0,30.0-0-0,283.0-0-0,237.0,
84,85TH,CAN,215011,LIAM BRUCE,CANLB20,21.0-0-0-0-0,38.0-0-0,15.0-0-0,24.0-0-0,30.0-0-0,7.0-0-0,48.0-1-0,27.0-0-0,41.0-0-0,34.0-0-0,285.0-0-0,237.0,
85,86TH,SWE,216181,WILHELM KARK,SWEWK1,24.0-0-0-0-0,18.0-0-0,27.0-0-0,30.0-0-0,18.0-0-0,20.0-0-0,40.0-0-0,34.0-0-0,52.0-1-BFD,28.0-0-0,291.0-0-0,239.0,
86,87TH,AUS,181887,SAM KING,AUSSK26,20.0-0-0-0-0,29.0-0-0,27.0-0-0,26.0-0-0,36.0-1-0,19.0-0-0,22.0-0-0,33.0-0-0,32.0-0-0,36.0-0-0,280.0-0-0,244.0,
87,88TH,GRE,221449,GEORGIOS PAPADAKOS,GREGP28,12.0-0-0-0-0,20.0-0-0,16.0-0-0,52.0-1-BFD,27.0-0-0,19.0-0-0,32.0-0-0,37.0-0-0,52.0-0-BFD,35.0-0-0,302.0-0-0,250.0,
88,89TH,GRE,212521,DIMITRIS PAPADIMITRIOU,GREDP19,19.0-0-0-0-0,14.0-0-0,28.0-0-0,42.0-0-0,17.0-0-0,31.0-0-0,28.0-0-0,45.0-0-0,46.0-1-0,26.0-0-0,296.0-0-0,250.0,
