Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Chris Taylor, Samuel Batten",,49er,21.0,G,37,,316,275,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Fritiof Hedström, Victor Vasternas",,49er,29.0,G,18,,220,179,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Marcus Anjemark, Carl P Sylvan",,49er,6.0,G,11,,179,142,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Lucien Cujean, Sebastien Schneiter",,49er,23.0,G,35,,309,268,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Alain Sign, Dylan Fletcher",,49er,32.0,G,5,,143,111,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Thomas Barrows, III, Joseph Morris",,49er,24.0,G,31,,287,246,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Sébastien SCOTTO DI FASANO, Mathieu Frei",,49er,30.0,G,34,,308,267,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Jacek Nowak, Tomasz Januszewski",,49er,4.0,G,12,,191,150,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Fynn Sterritt, James Peters",,49er,7.0,G,4,,126,106,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Hans Henken, Judge Ryan",,49er,13.0,G,39,,357,316,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Lukasz Przybytek, Pawel Kolodzinski",,49er,14.0,G,25,,262,221,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Uberto Crivelli Visconti, Gianmarco Togni",,49er,20.0,G,28,,272,231,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Kenji Takahashi, Yukio Makino",,49er,35.0,G,29,,276,235,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Levi Slap, Max Slap",,49er,39.0,G,40,,359,318,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Tom Pelsmaekers, Yannick Lefebvre",,49er,17.0,G,9,,167,147,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Niclas Düring, Victor Bergström",,49er,18.0,G,23,,258,217,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Benjamin Jose Grez Ahrens, Cristobal Grez Ahrens",,49er,33.0,G,33,,293,252,Semaine Olympique Francaise De Voile 2016,Race 04,0
,,"Roberto Dubbini, Luca Dubbini",,49er,36.0,G,24,,259,218,Semaine Olympique Francaise De Voile 2016,Race 04,0
