Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,KONDO YOSHIDA/YOSHIDA,,470,30,G,28,,212,178,World Championship 2023,Race 10 Gold,0
,,WANSER/AUTENRIETH,,470,10,G,9,,135,114,World Championship 2023,Race 10 Gold,0
,,TULCALI/DANISMEND,,470,33,G,31,,235,202,World Championship 2023,Race 10 Gold,1
,,LINCK DUARTE/BUSATO BARBACHAN,,470,29,G,32,,243,210,World Championship 2023,Race 10 Gold,0
,,HEATHCOTE/GRUBE,,470,1,G,13,,142,112,World Championship 2023,Race 10 Gold,0
,,MERMOD/SIEGENTHALER,,470,9,G,12,,124,101,World Championship 2023,Race 10 Gold,0
,,LEIGH/ORR,,470,27,G,25,,191,161,World Championship 2023,Race 10 Gold,0
,,DUARTE HADDAD/SWAN,,470,9,G,23,,183,157,World Championship 2023,Race 5 Blue,0
,,HASSON/LASRY,,470,13,G,7,,131,98,World Championship 2023,Race 5 Blue,0
,,FAHRNI/SCHUPBACH,,470,18,G,40,,163,138,World Championship 2023,Race 5 Blue,0
,,LINCK DUARTE/BUSATO BARBACHAN,,470,33,G,32,,243,210,World Championship 2023,Race 5 Blue,1
,,VADLAU/MAHR,,470,6,G,4,,112,93,World Championship 2023,Race 5 Blue,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,10,G,44,,183,151,World Championship 2023,Race 5 Blue,0
,,WRIGLEY/HARRIS,,470,1,G,15,,148,115,World Championship 2023,Race 5 Blue,0
,,RUIZ PONCE/GIL ROIG,,470,2,G,51,,219,187,World Championship 2023,Race 5 Blue,0
,,le CLECH/RETORNAZ,,470,20,G,30,,227,196,World Championship 2023,Race 5 Blue,0
,,JACKSON/HIGGINS,,470,30,G,50,,216,185,World Championship 2023,Race 5 Blue,0
,,DIESCH/MARKFORT,,470,3,G,8,,122,98,World Championship 2023,Race 5 Blue,0
,,PACAUD/de GENNES,,470,14,G,14,,142,113,World Championship 2023,Race 5 Blue,0
,,THAMSOONTORN/KHEMKAEW,,470,22,G,49,,210,181,World Championship 2023,Race 5 Blue,0
,,DONG/WANG,,470,28,G,27,,211,178,World Championship 2023,Race 5 Blue,0
,,WORNALL/STREET,,470,26,G,57,,257,225,World Championship 2023,Race 5 Blue,0
,,SAMARZIJA/SCHEIDL,,470,27,G,62,,285,252,World Championship 2023,Race 5 Blue,0
,,MAS/RODRIGUEZ,,470,4,G,11,,121,99,World Championship 2023,Race 5 Blue,0
,,PASZEK/LASKOWSKA,,470,17,G,54,,223,195,World Championship 2023,Race 5 Blue,0
