Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
CERVERA LOUISE,7,Ilca 6,2.0,G,3,0,138,113,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
PLASSCHAERT EMMA,7,Ilca 6,14.0,G,4,0,181,115,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
DOUGLAS SARAH,7,Ilca 6,10.0,G,5,0,166,119,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
SNELLGROVE HANNAH,7,Ilca 6,18.0,G,6,0,161,128,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
BENINI FLORIANI CHIARA,7,Ilca 6,8.0,G,7,0,188,145,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
AKKERMAN MIRTHE,7,Ilca 6,20.0,G,8,0,180,149,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
STRANSKY MARA,7,Ilca 6,4.0,G,9,0,203,159,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
JONKER MAXIME,7,Ilca 6,6.0,G,10,0,235,169,Semaine Olympique Francaise De Voile 2022,"11 M*
2",0
KONTIDES PAVLOS,7,Ilca 7,3.0,G,1,0,59,42,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
HANSON ELLIOT,7,Ilca 7,14.0,G,2,0,62,43,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
BECKETT MICHAEL,7,Ilca 7,6.0,G,3,0,76,50,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
BUHL PHILIPP,7,Ilca 7,1.0,G,4,0,83,54,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
WEARN MATT,7,Ilca 7,2.0,G,5,0,104,60,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
BLANCO JOAQUIN,7,Ilca 7,2.0,G,6,0,91,72,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
CHIAVARINI LORENZO BRAND,7,Ilca 7,7.0,G,7,0,87,75,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
WILLIM NIK AARON,7,Ilca 7,16.0,G,8,0,105,77,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
GAUTREY GEORGE,7,Ilca 7,9.0,G,9,0,104,81,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
BERNAZ JEAN BAPTISTE,7,Ilca 7,1.0,G,10,0,104,82,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
LO RYAN,7,Ilca 7,8.0,G,11,0,100,72,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
ALEXANDER FINN,7,Ilca 7,3.0,G,12,0,116,81,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
LYNCH FINN,7,Ilca 7,10.0,G,13,0,113,83,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
RODRIGUEZ JOEL,7,Ilca 7,9.0,G,14,0,106,85,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
JURISIC FILIP,7,Ilca 7,10.0,G,15,0,110,87,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
WHALEY SAM,7,Ilca 7,11.0,G,16,0,132,88,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
STIPANOVIA++ TONCI,7,Ilca 7,7.0,G,17,0,113,92,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
MAEGLI JUAN I.,7,Ilca 7,4.0,G,18,0,117,93,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
VADNAI JONATAN,7,Ilca 7,21.0,G,19,0,115,94,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
SPADONI ALESSIO,7,Ilca 7,8.0,G,20,0,145,109,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
ELLIOTT LUKE,7,Ilca 7,9.0,G,21,0,141,110,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
SEGUEL LACA!MARA CLEM,7,Ilca 7,5.0,G,22,0,168,128,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
MCMAHON EWAN,7,Ilca 7,6.0,G,23,0,150,128,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
SAUNDERS THOMAS,7,Ilca 7,2.0,G,24,0,174,130,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
MCAULLAY ETHAN,7,Ilca 7,4.0,G,25,0,172,137,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
